Processing adafruit_feather_esp32s3_reversetft_espi (platform: espressif32; board: um_feathers3; framework: arduino)
--------------------------------------------------------------------------------
--- Terminal on /dev/ttyACM0 | 9600 8-N-1
--- Available filters and text transformations: colorize, debug, default, direct, esp32_exception_decoder, hexlify, log2file, nocontrol, printable, send_on_enter, time
--- More details at https://bit.ly/pio-monitor-filters
--- Quit: Ctrl+C | Menu: Ctrl+T | Help: Ctrl+T followed by Ctrl+H
Time: 39.71 s, dT: 0.1000 s, Temp: 54.90 C, Target: 51.45 C, Output: 0
Time: 39.81 s, dT: 0.1000 s, Temp: 54.95 C, Target: 51.48 C, Output: 0
Time: 39.91 s, dT: 0.1000 s, Temp: 54.88 C, Target: 51.50 C, Output: 0
Time: 40.01 s, dT: 0.1000 s, Temp: 54.90 C, Target: 51.53 C, Output: 0
Time: 40.11 s, dT: 0.1000 s, Temp: 54.90 C, Target: 51.55 C, Output: 0
Time: 40.21 s, dT: 0.1000 s, Temp: 54.92 C, Target: 51.58 C, Output: 0
Time: 40.31 s, dT: 0.1000 s, Temp: 54.91 C, Target: 51.60 C, Output: 0
Time: 40.41 s, dT: 0.1000 s, Temp: 54.93 C, Target: 51.63 C, Output: 0
Time: 40.51 s, dT: 0.1000 s, Temp: 54.93 C, Target: 51.65 C, Output: 0
Time: 40.61 s, dT: 0.1000 s, Temp: 54.98 C, Target: 51.68 C, Output: 0
Time: 40.71 s, dT: 0.1000 s, Temp: 54.95 C, Target: 51.70 C, Output: 0
Time: 40.81 s, dT: 0.1000 s, Temp: 54.88 C, Target: 51.73 C, Output: 0
Time: 40.91 s, dT: 0.1000 s, Temp: 54.97 C, Target: 51.75 C, Output: 0
Time: 41.01 s, dT: 0.1000 s, Temp: 54.90 C, Target: 51.78 C, Output: 0
Time: 41.11 s, dT: 0.1000 s, Temp: 54.91 C, Target: 51.80 C, Output: 0
Time: 41.21 s, dT: 0.1000 s, Temp: 54.86 C, Target: 51.83 C, Output: 0
Time: 41.31 s, dT: 0.1000 s, Temp: 54.80 C, Target: 51.85 C, Output: 0
Time: 41.41 s, dT: 0.1000 s, Temp: 54.84 C, Target: 51.88 C, Output: 0
Time: 41.51 s, dT: 0.1000 s, Temp: 54.90 C, Target: 51.90 C, Output: 0
Time: 41.61 s, dT: 0.1000 s, Temp: 54.92 C, Target: 51.93 C, Output: 0
