Processing adafruit_feather_esp32s3_reversetft_espi (platform: espressif32; board: um_feathers3; framework: arduino)
--------------------------------------------------------------------------------
--- Terminal on /dev/ttyACM0 | 9600 8-N-1
--- Available filters and text transformations: colorize, debug, default, direct, esp32_exception_decoder, hexlify, log2file, nocontrol, printable, send_on_enter, time
--- More details at https://bit.ly/pio-monitor-filters
--- Quit: Ctrl+C | Menu: Ctrl+T | Help: Ctrl+T followed by Ctrl+H
00 C, Output: 0
Time: 43.41 s, dT: 0.1000 s, Temp: 25.55 C, Target: 57.96 C, Output: 255
Time: 43.51 s, dT: 0.1000 s, Temp: 25.52 C, Target: 58.00 C, Output: 255
Time: 43.61 s, dT: 0.1000 s, Temp: 25.52 C, Target: 58.05 C, Output: 255
Time: 43.71 s, dT: 0.1000 s, Temp: 25.50 C, Target: 58.09 C, Output: 255
Time: 43.81 s, dT: 0.1000 s, Temp: 25.59 C, Target: 58.14 C, Output: 255
Time: 43.91 s, dT: 0.1000 s, Temp: 25.56 C, Target: 58.19 C, Output: 255
Time: 44.01 s, dT: 0.1000 s, Temp: 25.57 C, Target: 58.23 C, Output: 255
Time: 44.11 s, dT: 0.1000 s, Temp: 25.55 C, Target: 58.28 C, Output: 255
Time: 44.21 s, dT: 0.1000 s, Temp: 25.52 C, Target: 58.33 C, Output: 255
Time: 44.31 s, dT: 0.1000 s, Temp: 25.50 C, Target: 58.37 C, Output: 255
Time: 44.41 s, dT: 0.1000 s, Temp: 25.57 C, Target: 58.42 C, Output: 255
Time: 44.51 s, dT: 0.1000 s, Temp: 25.52 C, Target: 58.46 C, Output: 255
Time: 44.61 s, dT: 0.1000 s, Temp: 25.56 C, Target: 58.51 C, Output: 255
Time: 44.71 s, dT: 0.1000 s, Temp: 25.59 C, Target: 58.56 C, Output: 255
Time: 44.81 s, dT: 0.1000 s, Temp: 25.56 C, Target: 58.60 C, Output: 255
Time: 44.91 s, dT: 0.1000 s, Temp: 25.54 C, Target: 58.65 C, Output: 255
Time: 45.01 s, dT: 0.1000 s, Temp: 25.55 C, Target: 58.70 C, Output: 255
Time: 45.11 s, dT: 0.1000 s, Temp: 25.55 C, Target: 58.74 C, Output: 255
Time: 45.21 s, dT: 0.1000 s, Temp: 25.52 C, Target: 58.79 C, Output: 255
Time: 45.31 s, dT: 0.1000 s, Temp: 25.50 C, Target: 58.83 C, Output: 255
Time: 45.41 s, dT: 0.1000 s, Temp: 25.60 C, Target: 58.88 C, Output: 255
Time: 45.51 s, dT: 0.1000 s, Temp: 25.56 C, Target: 58.93 C, Output: 255
Time: 45.61 s, dT: 0.1000 s, Temp: 25.57 C, Target: 58.97 C, Output: 255
Time: 45.71 s, dT: 0.1000 s, Temp: 25.59 C, Target: 59.02 C, Output: 255
Time: 45.81 s, dT: 0.1000 s, Temp: 25.56 C, Target: 59.07 C, Output: 255
Time: 45.91 s, dT: 0.1000 s, Temp: 25.59 C, Target: 59.11 C, Output: 255
Time: 46.01 s, dT: 0.1000 s, Temp: 25.55 C, Target: 59.16 C, Output: 255
Time: 46.11 s, dT: 0.1000 s, Temp: 25.57 C, Target: 59.20 C, Output: 255
Time: 46.21 s, dT: 0.1000 s, Temp: 25.62 C, Target: 59.25 C, Output: 255
Time: 46.31 s, dT: 0.1010 s, Temp: 25.64 C, Target: 59.30 C, Output: 255
Time: 46.41 s, dT: 0.1010 s, Temp: 25.64 C, Target: 59.34 C, Output: 255
Time: 46.51 s, dT: 0.1000 s, Temp: 25.59 C, Target: 59.39 C, Output: 255
Time: 46.61 s, dT: 0.1000 s, Temp: 25.56 C, Target: 59.44 C, Output: 255
Time: 46.71 s, dT: 0.1000 s, Temp: 25.63 C, Target: 59.48 C, Output: 255
Time: 46.81 s, dT: 0.1000 s, Temp: 25.60 C, Target: 59.53 C, Output: 255
