Processing adafruit_feather_esp32s3_reversetft_espi (platform: espressif32; board: um_feathers3; framework: arduino)
--------------------------------------------------------------------------------
--- Terminal on /dev/ttyACM0 | 9600 8-N-1
--- Available filters and text transformations: colorize, debug, default, direct, esp32_exception_decoder, hexlify, log2file, nocontrol, printable, send_on_enter, time
--- More details at https://bit.ly/pio-monitor-filters
--- Quit: Ctrl+C | Menu: Ctrl+T | Help: Ctrl+T followed by Ctrl+H
0.1000 s, Temp: 46.89 C, Target: 54.32 C, Output: 175
Time: 29.80 s, dT: 0.1000 s, Temp: 53.05 C, Target: 59.95 C, Output: 215
Time: 29.90 s, dT: 0.1000 s, Temp: 53.30 C, Target: 59.99 C, Output: 210
Time: 30.00 s, dT: 0.1000 s, Temp: 53.53 C, Target: 60.04 C, Output: 207
Time: 30.10 s, dT: 0.1000 s, Temp: 53.53 C, Target: 60.08 C, Output: 211
Time: 30.20 s, dT: 0.1000 s, Temp: 53.60 C, Target: 60.13 C, Output: 210
Time: 30.30 s, dT: 0.1000 s, Temp: 53.80 C, Target: 60.17 C, Output: 206
Time: 30.40 s, dT: 0.1000 s, Temp: 54.00 C, Target: 60.22 C, Output: 203
Time: 30.50 s, dT: 0.1000 s, Temp: 54.03 C, Target: 60.26 C, Output: 205
Time: 30.60 s, dT: 0.1000 s, Temp: 54.16 C, Target: 60.31 C, Output: 203
Time: 30.70 s, dT: 0.1000 s, Temp: 54.26 C, Target: 60.35 C, Output: 202
Time: 30.80 s, dT: 0.1000 s, Temp: 54.34 C, Target: 60.40 C, Output: 202
Time: 30.90 s, dT: 0.1000 s, Temp: 54.52 C, Target: 60.44 C, Output: 199
Time: 31.00 s, dT: 0.1000 s, Temp: 54.59 C, Target: 60.49 C, Output: 200
Time: 31.10 s, dT: 0.1000 s, Temp: 54.68 C, Target: 60.53 C, Output: 199
Time: 31.20 s, dT: 0.1000 s, Temp: 54.86 C, Target: 60.58 C, Output: 195
Time: 31.30 s, dT: 0.1000 s, Temp: 55.00 C, Target: 60.62 C, Output: 194
Time: 31.40 s, dT: 0.1000 s, Temp: 55.15 C, Target: 60.67 C, Output: 192
Time: 31.50 s, dT: 0.1000 s, Temp: 55.30 C, Target: 60.71 C, Output: 191
Time: 31.60 s, dT: 0.1000 s, Temp: 55.32 C, Target: 60.76 C, Output: 193
Time: 31.70 s, dT: 0.1000 s, Temp: 55.41 C, Target: 60.80 C, Output: 191
Time: 31.80 s, dT: 0.1000 s, Temp: 55.54 C, Target: 60.85 C, Output: 189
Time: 31.90 s, dT: 0.1000 s, Temp: 55.79 C, Target: 60.89 C, Output: 184
Time: 32.00 s, dT: 0.1000 s, Temp: 55.88 C, Target: 60.94 C, Output: 185
Time: 32.10 s, dT: 0.1000 s, Temp: 56.00 C, Target: 60.98 C, Output: 184
Time: 32.20 s, dT: 0.1000 s, Temp: 55.98 C, Target: 61.03 C, Output: 187
Time: 32.30 s, dT: 0.1000 s, Temp: 56.11 C, Target: 61.07 C, Output: 184
Time: 32.40 s, dT: 0.1000 s, Temp: 56.34 C, Target: 61.12 C, Output: 179
Time: 32.50 s, dT: 0.1000 s, Temp: 56.48 C, Target: 61.16 C, Output: 179
Time: 32.60 s, dT: 0.1000 s, Temp: 56.52 C, Target: 61.21 C, Output: 180
Time: 32.70 s, dT: 0.1000 s, Temp: 56.64 C, Target: 61.25 C, Output: 178
Time: 32.80 s, dT: 0.1000 s, Temp: 56.79 C, Target: 61.30 C, Output: 176
Time: 32.90 s, dT: 0.1000 s, Temp: 57.01 C, Target: 61.34 C, Output: 172
Time: 33.00 s, dT: 0.1000 s, Temp: 57.03 C, Target: 61.39 C, Output: 174
Time: 33.10 s, dT: 0.1000 s, Temp: 57.10 C, Target: 61.43 C, Output: 174
Time: 33.20 s, dT: 0.1000 s, Temp: 57.20 C, Target: 61.48 C, Output: 172
Time: 33.30 s, dT: 0.1000 s, Temp: 57.30 C, Target: 61.52 C, Output: 172
Time: 33.40 s, dT: 0.1000 s, Temp: 57.59 C, Target: 61.57 C, Output: 165
Time: 33.50 s, dT: 0.1000 s, Temp: 57.66 C, Target: 61.61 C, Output: 167
Time: 33.60 s, dT: 0.1000 s, Temp: 57.73 C, Target: 61.66 C, Output: 166
Time: 33.70 s, dT: 0.1000 s, Temp: 57.84 C, Target: 61.70 C, Output: 165
Time: 33.80 s, dT: 0.1000 s, Temp: 57.89 C, Target: 61.75 C, Output: 166
Time: 33.90 s, dT: 0.1000 s, Temp: 58.10 C, Target: 61.79 C, Output: 161
Time: 34.00 s, dT: 0.1000 s, Temp: 58.14 C, Target: 61.84 C, Output: 163
Time: 34.10 s, dT: 0.1000 s, Temp: 58.27 C, Target: 61.88 C, Output: 161
Time: 34.20 s, dT: 0.1000 s, Temp: 58.38 C, Target: 61.93 C, Output: 160
Time: 34.30 s, dT: 0.1000 s, Temp: 58.56 C, Target: 61.97 C, Output: 156
Time: 34.41 s, dT: 0.1010 s, Temp: 58.62 C, Target: 62.02 C, Output: 157
Time: 34.51 s, dT: 0.1010 s, Temp: 58.84 C, Target: 62.06 C, Output: 153
Time: 34.61 s, dT: 0.1000 s, Temp: 58.87 C, Target: 62.11 C, Output: 155
Time: 34.71 s, dT: 0.1000 s, Temp: 58.89 C, Target: 62.15 C, Output: 156
Time: 34.81 s, dT: 0.1000 s, Temp: 59.02 C, Target: 62.20 C, Output: 153
Time: 34.91 s, dT: 0.1000 s, Temp: 59.27 C, Target: 62.24 C, Output: 148
Time: 35.01 s, dT: 0.1000 s, Temp: 59.32 C, Target: 62.29 C, Output: 150
Time: 35.11 s, dT: 0.1000 s, Temp: 59.44 C, Target: 62.33 C, Output: 148
Time: 35.21 s, dT: 0.1000 s, Temp: 59.54 C, Target: 62.38 C, Output: 147
Time: 35.31 s, dT: 0.1000 s, Temp: 59.66 C, Target: 62.42 C, Output: 145
Time: 35.41 s, dT: 0.1000 s, Temp: 59.81 C, Target: 62.47 C, Output: 143
Time: 35.51 s, dT: 0.1000 s, Temp: 59.86 C, Target: 62.51 C, Output: 144
Time: 35.61 s, dT: 0.1000 s, Temp: 60.02 C, Target: 62.56 C, Output: 141
Time: 35.71 s, dT: 0.1000 s, Temp: 60.20 C, Target: 62.60 C, Output: 138
Time: 35.81 s, dT: 0.1000 s, Temp: 60.23 C, Target: 62.65 C, Output: 140
Time: 35.91 s, dT: 0.1000 s, Temp: 60.41 C, Target: 62.69 C, Output: 136
Time: 36.01 s, dT: 0.1000 s, Temp: 60.48 C, Target: 62.74 C, Output: 137
Time: 36.11 s, dT: 0.1000 s, Temp: 60.52 C, Target: 62.78 C, Output: 137
Time: 36.21 s, dT: 0.1000 s, Temp: 60.69 C, Target: 62.83 C, Output: 134
Time: 36.31 s, dT: 0.1000 s, Temp: 60.80 C, Target: 62.87 C, Output: 133
Time: 36.41 s, dT: 0.1000 s, Temp: 60.93 C, Target: 62.92 C, Output: 131
Time: 36.51 s, dT: 0.1000 s, Temp: 61.11 C, Target: 62.96 C, Output: 128
Time: 36.61 s, dT: 0.1000 s, Temp: 61.20 C, Target: 63.01 C, Output: 128
Time: 36.71 s, dT: 0.1000 s, Temp: 61.30 C, Target: 63.05 C, Output: 127
Time: 36.81 s, dT: 0.1000 s, Temp: 61.45 C, Target: 63.10 C, Output: 125
Time: 36.91 s, dT: 0.1000 s, Temp: 61.48 C, Target: 63.14 C, Output: 126
Time: 37.01 s, dT: 0.1000 s, Temp: 61.65 C, Target: 63.19 C, Output: 122
Time: 37.11 s, dT: 0.1000 s, Temp: 61.83 C, Target: 63.23 C, Output: 120
