Processing adafruit_feather_esp32s3_reversetft_espi (platform: espressif32; board: um_feathers3; framework: arduino)
--------------------------------------------------------------------------------
--- Terminal on /dev/ttyACM0 | 9600 8-N-1
--- Available filters and text transformations: colorize, debug, default, direct, esp32_exception_decoder, hexlify, log2file, nocontrol, printable, send_on_enter, time
--- More details at https://bit.ly/pio-monitor-filters
--- Quit: Ctrl+C | Menu: Ctrl+T | Help: Ctrl+T followed by Ctrl+H
0 s, Temp: 25.38 C, Target: 0.00 C, Output: 0
Time: 47.10 s, dT: 0.1000 s, Temp: 25.32 C, Target: 52.04 C, Output: 255
Time: 47.20 s, dT: 0.1000 s, Temp: 25.33 C, Target: 52.08 C, Output: 255
Time: 47.30 s, dT: 0.1000 s, Temp: 25.30 C, Target: 52.13 C, Output: 255
Time: 47.40 s, dT: 0.1000 s, Temp: 25.37 C, Target: 52.17 C, Output: 255
Time: 47.50 s, dT: 0.1000 s, Temp: 25.41 C, Target: 52.22 C, Output: 255
Time: 47.60 s, dT: 0.1000 s, Temp: 25.43 C, Target: 52.27 C, Output: 255
Time: 47.70 s, dT: 0.1000 s, Temp: 25.32 C, Target: 52.31 C, Output: 255
Time: 47.80 s, dT: 0.1000 s, Temp: 25.34 C, Target: 52.36 C, Output: 255
Time: 47.90 s, dT: 0.1000 s, Temp: 25.45 C, Target: 52.41 C, Output: 255
Time: 48.00 s, dT: 0.1000 s, Temp: 25.43 C, Target: 52.45 C, Output: 255
Time: 48.10 s, dT: 0.1000 s, Temp: 25.38 C, Target: 52.50 C, Output: 255
Time: 48.20 s, dT: 0.1000 s, Temp: 25.43 C, Target: 52.54 C, Output: 255
Time: 48.30 s, dT: 0.1000 s, Temp: 25.41 C, Target: 52.59 C, Output: 255
Time: 48.40 s, dT: 0.1000 s, Temp: 25.37 C, Target: 52.64 C, Output: 255
Time: 48.50 s, dT: 0.1000 s, Temp: 25.45 C, Target: 52.68 C, Output: 255
Time: 48.60 s, dT: 0.1000 s, Temp: 25.37 C, Target: 52.73 C, Output: 255
Time: 48.70 s, dT: 0.1000 s, Temp: 25.43 C, Target: 52.78 C, Output: 255
Time: 48.80 s, dT: 0.1000 s, Temp: 25.46 C, Target: 52.82 C, Output: 255
Time: 48.90 s, dT: 0.1000 s, Temp: 25.41 C, Target: 52.87 C, Output: 255
Time: 49.00 s, dT: 0.1000 s, Temp: 25.41 C, Target: 52.91 C, Output: 255
Time: 49.10 s, dT: 0.1000 s, Temp: 25.46 C, Target: 52.96 C, Output: 255
Time: 49.20 s, dT: 0.1000 s, Temp: 25.43 C, Target: 53.01 C, Output: 255
Time: 49.30 s, dT: 0.1000 s, Temp: 25.44 C, Target: 53.05 C, Output: 255
Time: 49.40 s, dT: 0.1000 s, Temp: 25.44 C, Target: 53.10 C, Output: 255
