Processing adafruit_feather_esp32s3_reversetft_espi (platform: espressif32; board: adafruit_feather_esp32s3_reversetft; framework: arduino)
--------------------------------------------------------------------------------
--- Terminal on /dev/ttyACM0 | 9600 8-N-1
--- Available filters and text transformations: colorize, debug, default, direct, esp32_exception_decoder, hexlify, log2file, nocontrol, printable, send_on_enter, time
--- More details at https://bit.ly/pio-monitor-filters
--- Quit: Ctrl+C | Menu: Ctrl+T | Help: Ctrl+T followed by Ctrl+H
Reflow started
Time: 71.96 s, Temp: 57.25 C, Target: 70.39 C, Output: 255.00
Time: 72.22 s, Temp: 57.34 C, Target: 70.46 C, Output: 255.00
Time: 72.49 s, Temp: 57.31 C, Target: 70.54 C, Output: 255.00
Time: 72.75 s, Temp: 57.25 C, Target: 70.61 C, Output: 255.00
Time: 73.01 s, Temp: 57.27 C, Target: 70.69 C, Output: 255.00
Time: 73.28 s, Temp: 57.27 C, Target: 70.76 C, Output: 255.00
Time: 73.54 s, Temp: 57.32 C, Target: 70.84 C, Output: 255.00
Time: 73.80 s, Temp: 57.27 C, Target: 70.91 C, Output: 255.00
Time: 74.07 s, Temp: 57.27 C, Target: 70.99 C, Output: 255.00
Time: 74.33 s, Temp: 57.24 C, Target: 71.06 C, Output: 255.00
Time: 74.59 s, Temp: 57.29 C, Target: 71.13 C, Output: 255.00
Time: 74.86 s, Temp: 57.24 C, Target: 71.21 C, Output: 255.00
Time: 75.12 s, Temp: 57.20 C, Target: 71.28 C, Output: 255.00
Time: 75.38 s, Temp: 57.18 C, Target: 71.36 C, Output: 255.00
Time: 75.65 s, Temp: 57.24 C, Target: 71.43 C, Output: 255.00
Time: 75.91 s, Temp: 57.20 C, Target: 71.51 C, Output: 255.00
Time: 76.17 s, Temp: 57.20 C, Target: 71.58 C, Output: 255.00
Time: 76.43 s, Temp: 57.20 C, Target: 71.66 C, Output: 255.00
Time: 76.70 s, Temp: 57.13 C, Target: 71.73 C, Output: 255.00
Time: 76.96 s, Temp: 57.24 C, Target: 71.81 C, Output: 255.00
Time: 77.22 s, Temp: 57.24 C, Target: 71.88 C, Output: 255.00
Time: 77.49 s, Temp: 57.23 C, Target: 71.95 C, Output: 255.00
Time: 77.75 s, Temp: 57.24 C, Target: 72.03 C, Output: 255.00
Time: 78.01 s, Temp: 57.17 C, Target: 72.10 C, Output: 255.00
Time: 78.28 s, Temp: 57.22 C, Target: 72.18 C, Output: 255.00
Time: 78.54 s, Temp: 57.20 C, Target: 72.25 C, Output: 255.00
