Processing adafruit_feather_esp32s3_reversetft_espi (platform: espressif32; board: adafruit_feather_esp32s3_reversetft; framework: arduino)
--------------------------------------------------------------------------------
--- Terminal on /dev/ttyACM0 | 9600 8-N-1
--- Available filters and text transformations: colorize, debug, default, direct, esp32_exception_decoder, hexlify, log2file, nocontrol, printable, send_on_enter, time
--- More details at https://bit.ly/pio-monitor-filters
--- Quit: Ctrl+C | Menu: Ctrl+T | Help: Ctrl+T followed by Ctrl+H
Reflow started
Time: 26.21 s, Temp: 49.14 C, Target: 56.55 C, Output: 141.97
Time: 26.47 s, Temp: 49.08 C, Target: 56.62 C, Output: 153.91
Time: 26.73 s, Temp: 49.13 C, Target: 56.68 C, Output: 148.82
Time: 27.00 s, Temp: 49.02 C, Target: 56.75 C, Output: 160.13
Time: 27.26 s, Temp: 49.06 C, Target: 56.81 C, Output: 152.70
Time: 27.52 s, Temp: 49.13 C, Target: 56.88 C, Output: 151.98
Time: 27.78 s, Temp: 48.99 C, Target: 56.95 C, Output: 165.72
Time: 28.05 s, Temp: 48.96 C, Target: 57.01 C, Output: 162.58
Time: 28.31 s, Temp: 49.08 C, Target: 57.08 C, Output: 154.13
Time: 28.57 s, Temp: 49.01 C, Target: 57.14 C, Output: 166.22
Time: 28.84 s, Temp: 49.03 C, Target: 57.21 C, Output: 162.38
Time: 29.10 s, Temp: 49.03 C, Target: 57.27 C, Output: 164.87
Time: 29.36 s, Temp: 48.99 C, Target: 57.34 C, Output: 168.92
Time: 29.63 s, Temp: 49.05 C, Target: 57.41 C, Output: 163.91
Time: 29.89 s, Temp: 49.05 C, Target: 57.47 C, Output: 168.35
Time: 30.15 s, Temp: 48.96 C, Target: 57.54 C, Output: 176.23
Time: 30.42 s, Temp: 48.94 C, Target: 57.60 C, Output: 174.50
Time: 30.68 s, Temp: 48.92 C, Target: 57.67 C, Output: 175.73
Time: 30.94 s, Temp: 48.94 C, Target: 57.74 C, Output: 175.18
Time: 31.20 s, Temp: 48.96 C, Target: 57.80 C, Output: 175.63
Time: 31.47 s, Temp: 48.96 C, Target: 57.87 C, Output: 178.12
