Processing adafruit_feather_esp32s3_reversetft_espi (platform: espressif32; board: adafruit_feather_esp32s3_reversetft; framework: arduino)
--------------------------------------------------------------------------------
--- Terminal on /dev/ttyACM0 | 9600 8-N-1
--- Available filters and text transformations: colorize, debug, default, direct, esp32_exception_decoder, hexlify, log2file, nocontrol, printable, send_on_enter, time
--- More details at https://bit.ly/pio-monitor-filters
--- Quit: Ctrl+C | Menu: Ctrl+T | Help: Ctrl+T followed by Ctrl+H
Reflow started
Time: 54.89 s, Temp: 40.48 C, Target: 99.90 C, Output: 255.00
Time: 55.15 s, Temp: 40.51 C, Target: 100.14 C, Output: 255.00
Time: 55.41 s, Temp: 40.63 C, Target: 100.38 C, Output: 255.00
Time: 55.68 s, Temp: 40.73 C, Target: 100.62 C, Output: 255.00
Time: 55.94 s, Temp: 40.83 C, Target: 100.85 C, Output: 255.00
Time: 56.20 s, Temp: 41.03 C, Target: 101.09 C, Output: 255.00
Time: 56.47 s, Temp: 41.01 C, Target: 101.33 C, Output: 255.00
Time: 56.73 s, Temp: 41.16 C, Target: 101.57 C, Output: 255.00
Time: 56.99 s, Temp: 41.23 C, Target: 101.81 C, Output: 255.00
Time: 57.26 s, Temp: 41.37 C, Target: 102.05 C, Output: 255.00
Time: 57.52 s, Temp: 41.52 C, Target: 102.29 C, Output: 255.00
Time: 57.78 s, Temp: 41.64 C, Target: 102.53 C, Output: 255.00
Time: 58.05 s, Temp: 41.67 C, Target: 102.77 C, Output: 255.00
Time: 58.31 s, Temp: 41.76 C, Target: 103.01 C, Output: 255.00
Time: 58.57 s, Temp: 41.88 C, Target: 103.25 C, Output: 255.00
Time: 58.84 s, Temp: 42.02 C, Target: 103.49 C, Output: 255.00
Time: 59.10 s, Temp: 42.07 C, Target: 103.73 C, Output: 255.00
Time: 59.36 s, Temp: 42.18 C, Target: 103.97 C, Output: 255.00
Time: 59.63 s, Temp: 42.30 C, Target: 104.20 C, Output: 255.00
Time: 59.89 s, Temp: 42.45 C, Target: 104.44 C, Output: 255.00
Time: 60.15 s, Temp: 42.48 C, Target: 104.68 C, Output: 255.00
Time: 60.41 s, Temp: 42.66 C, Target: 104.92 C, Output: 255.00
Time: 60.68 s, Temp: 42.84 C, Target: 105.16 C, Output: 255.00
Time: 60.94 s, Temp: 42.87 C, Target: 105.40 C, Output: 255.00
Time: 61.20 s, Temp: 42.98 C, Target: 105.64 C, Output: 255.00
Time: 61.47 s, Temp: 43.11 C, Target: 105.88 C, Output: 255.00
Time: 61.73 s, Temp: 43.15 C, Target: 106.12 C, Output: 255.00
Time: 61.99 s, Temp: 43.32 C, Target: 106.36 C, Output: 255.00
Time: 62.26 s, Temp: 43.45 C, Target: 106.60 C, Output: 255.00
Time: 62.52 s, Temp: 43.53 C, Target: 106.84 C, Output: 255.00
Time: 62.78 s, Temp: 43.65 C, Target: 107.08 C, Output: 255.00
Time: 63.05 s, Temp: 43.80 C, Target: 107.31 C, Output: 255.00
Time: 63.31 s, Temp: 43.91 C, Target: 107.55 C, Output: 255.00
Time: 63.57 s, Temp: 44.01 C, Target: 107.79 C, Output: 255.00
Time: 63.84 s, Temp: 44.19 C, Target: 108.03 C, Output: 255.00
Time: 64.10 s, Temp: 44.21 C, Target: 108.27 C, Output: 255.00
Time: 64.36 s, Temp: 44.34 C, Target: 108.51 C, Output: 255.00
Time: 64.62 s, Temp: 44.45 C, Target: 108.75 C, Output: 255.00
Time: 64.89 s, Temp: 44.62 C, Target: 108.99 C, Output: 255.00
Time: 65.15 s, Temp: 44.80 C, Target: 109.23 C, Output: 255.00
Time: 65.41 s, Temp: 44.91 C, Target: 109.47 C, Output: 255.00
Time: 65.68 s, Temp: 44.99 C, Target: 109.71 C, Output: 255.00
Time: 65.94 s, Temp: 45.13 C, Target: 109.95 C, Output: 255.00
Time: 66.20 s, Temp: 45.31 C, Target: 110.19 C, Output: 255.00
Time: 66.47 s, Temp: 45.42 C, Target: 110.42 C, Output: 255.00
Time: 66.73 s, Temp: 45.60 C, Target: 110.66 C, Output: 255.00
Time: 66.99 s, Temp: 45.74 C, Target: 110.90 C, Output: 255.00
Time: 67.26 s, Temp: 45.72 C, Target: 111.14 C, Output: 255.00
Time: 67.52 s, Temp: 45.91 C, Target: 111.38 C, Output: 255.00
Time: 67.78 s, Temp: 46.02 C, Target: 111.62 C, Output: 255.00
Time: 68.05 s, Temp: 46.22 C, Target: 111.86 C, Output: 255.00
Time: 68.31 s, Temp: 46.31 C, Target: 112.10 C, Output: 255.00
Time: 68.57 s, Temp: 46.45 C, Target: 112.34 C, Output: 255.00
Time: 68.84 s, Temp: 46.61 C, Target: 112.58 C, Output: 255.00
Time: 69.10 s, Temp: 46.73 C, Target: 112.82 C, Output: 255.00
Time: 69.36 s, Temp: 46.80 C, Target: 113.06 C, Output: 255.00
Time: 69.62 s, Temp: 46.91 C, Target: 113.30 C, Output: 255.00
Time: 69.89 s, Temp: 47.07 C, Target: 113.53 C, Output: 255.00
Time: 70.15 s, Temp: 47.27 C, Target: 113.77 C, Output: 255.00
Time: 70.41 s, Temp: 47.38 C, Target: 114.01 C, Output: 255.00
Time: 70.68 s, Temp: 47.50 C, Target: 114.25 C, Output: 255.00
Time: 70.94 s, Temp: 47.52 C, Target: 114.49 C, Output: 255.00
Time: 71.20 s, Temp: 47.70 C, Target: 114.73 C, Output: 255.00
Time: 71.47 s, Temp: 47.78 C, Target: 114.97 C, Output: 255.00
Time: 71.73 s, Temp: 47.98 C, Target: 115.21 C, Output: 255.00
Time: 71.99 s, Temp: 48.07 C, Target: 115.45 C, Output: 255.00
Time: 72.26 s, Temp: 48.28 C, Target: 115.69 C, Output: 255.00
Time: 72.52 s, Temp: 48.36 C, Target: 115.93 C, Output: 255.00
Time: 72.78 s, Temp: 48.45 C, Target: 116.17 C, Output: 255.00
Time: 73.05 s, Temp: 48.66 C, Target: 116.41 C, Output: 255.00
Time: 73.31 s, Temp: 48.84 C, Target: 116.64 C, Output: 255.00
Time: 73.57 s, Temp: 48.96 C, Target: 116.88 C, Output: 255.00
Time: 73.84 s, Temp: 49.03 C, Target: 117.12 C, Output: 255.00
Time: 74.10 s, Temp: 49.21 C, Target: 117.36 C, Output: 255.00
Time: 74.36 s, Temp: 49.30 C, Target: 117.60 C, Output: 255.00
Time: 74.62 s, Temp: 49.49 C, Target: 117.84 C, Output: 255.00
Time: 74.89 s, Temp: 49.59 C, Target: 118.08 C, Output: 255.00
Time: 75.15 s, Temp: 49.81 C, Target: 118.32 C, Output: 255.00
Time: 75.41 s, Temp: 49.88 C, Target: 118.56 C, Output: 255.00
Time: 75.68 s, Temp: 50.11 C, Target: 118.80 C, Output: 255.00
Time: 75.94 s, Temp: 50.15 C, Target: 119.04 C, Output: 255.00
Time: 76.20 s, Temp: 50.34 C, Target: 119.28 C, Output: 255.00
Time: 76.47 s, Temp: 50.47 C, Target: 119.51 C, Output: 255.00
Time: 76.73 s, Temp: 50.57 C, Target: 119.75 C, Output: 255.00
Time: 76.99 s, Temp: 50.83 C, Target: 119.99 C, Output: 255.00
Time: 77.26 s, Temp: 50.94 C, Target: 120.23 C, Output: 255.00
Time: 77.52 s, Temp: 51.05 C, Target: 120.47 C, Output: 255.00
Time: 77.78 s, Temp: 51.23 C, Target: 120.71 C, Output: 255.00
Time: 78.04 s, Temp: 51.39 C, Target: 120.95 C, Output: 255.00
Time: 78.31 s, Temp: 51.45 C, Target: 121.19 C, Output: 255.00
Time: 78.57 s, Temp: 51.66 C, Target: 121.43 C, Output: 255.00
Time: 78.83 s, Temp: 51.78 C, Target: 121.67 C, Output: 255.00
Time: 79.10 s, Temp: 52.02 C, Target: 121.91 C, Output: 255.00
Time: 79.36 s, Temp: 52.05 C, Target: 122.15 C, Output: 255.00
Time: 79.62 s, Temp: 52.30 C, Target: 122.39 C, Output: 255.00
Time: 79.89 s, Temp: 52.31 C, Target: 122.63 C, Output: 255.00
Time: 80.15 s, Temp: 52.52 C, Target: 122.86 C, Output: 255.00
Time: 80.41 s, Temp: 52.70 C, Target: 123.10 C, Output: 255.00
Time: 80.68 s, Temp: 52.79 C, Target: 123.34 C, Output: 255.00
