Processing adafruit_feather_esp32s3_reversetft_espi (platform: espressif32; board: adafruit_feather_esp32s3_reversetft; framework: arduino)
--------------------------------------------------------------------------------
--- Terminal on /dev/ttyACM0 | 9600 8-N-1
--- Available filters and text transformations: colorize, debug, default, direct, esp32_exception_decoder, hexlify, log2file, nocontrol, printable, send_on_enter, time
--- More details at https://bit.ly/pio-monitor-filters
--- Quit: Ctrl+C | Menu: Ctrl+T | Help: Ctrl+T followed by Ctrl+H
Reflow started
Time: 23.97 s, Temp: 72.46 C, Target: 55.99 C, Output: 0.00
Time: 24.14 s, Temp: 72.36 C, Target: 56.03 C, Output: 0.00
Time: 24.30 s, Temp: 72.30 C, Target: 56.07 C, Output: 0.00
Time: 24.46 s, Temp: 72.22 C, Target: 56.12 C, Output: 0.00
Time: 24.62 s, Temp: 72.12 C, Target: 56.16 C, Output: 0.00
Time: 24.79 s, Temp: 72.03 C, Target: 56.20 C, Output: 0.00
Time: 24.95 s, Temp: 72.14 C, Target: 56.24 C, Output: 0.00
Time: 25.11 s, Temp: 72.01 C, Target: 56.28 C, Output: 0.00
Time: 25.28 s, Temp: 71.93 C, Target: 56.32 C, Output: 0.00
Time: 25.44 s, Temp: 71.93 C, Target: 56.36 C, Output: 0.00
Time: 25.60 s, Temp: 71.88 C, Target: 56.40 C, Output: 0.00
Time: 25.77 s, Temp: 71.86 C, Target: 56.44 C, Output: 0.00
Time: 25.93 s, Temp: 71.84 C, Target: 56.48 C, Output: 0.00
Time: 26.09 s, Temp: 71.80 C, Target: 56.52 C, Output: 0.00
Time: 26.26 s, Temp: 71.74 C, Target: 56.56 C, Output: 0.00
Time: 26.42 s, Temp: 71.75 C, Target: 56.60 C, Output: 0.00
Time: 26.58 s, Temp: 71.75 C, Target: 56.65 C, Output: 0.00
Time: 26.75 s, Temp: 71.67 C, Target: 56.69 C, Output: 0.00
Time: 26.91 s, Temp: 71.63 C, Target: 56.73 C, Output: 0.00
Time: 27.07 s, Temp: 71.61 C, Target: 56.77 C, Output: 0.00
Time: 27.23 s, Temp: 71.56 C, Target: 56.81 C, Output: 0.00
Time: 27.40 s, Temp: 71.54 C, Target: 56.85 C, Output: 0.00
Time: 27.56 s, Temp: 71.52 C, Target: 56.89 C, Output: 0.00
Time: 27.72 s, Temp: 71.59 C, Target: 56.93 C, Output: 0.00
Time: 27.89 s, Temp: 71.49 C, Target: 56.97 C, Output: 0.00
Time: 28.05 s, Temp: 71.39 C, Target: 57.01 C, Output: 0.00
Time: 28.21 s, Temp: 71.30 C, Target: 57.05 C, Output: 0.0
