Processing adafruit_feather_esp32s3_reversetft_espi (platform: espressif32; board: um_feathers3; framework: arduino)
--------------------------------------------------------------------------------
--- Terminal on /dev/ttyACM0 | 9600 8-N-1
--- Available filters and text transformations: colorize, debug, default, direct, esp32_exception_decoder, hexlify, log2file, nocontrol, printable, send_on_enter, time
--- More details at https://bit.ly/pio-monitor-filters
--- Quit: Ctrl+C | Menu: Ctrl+T | Help: Ctrl+T followed by Ctrl+H
Time: 36.42 s, dT: 0.1000 s, Temp: 38.64 C, Target: 59.26 C, Output: 255
Time: 36.52 s, dT: 0.1010 s, Temp: 38.65 C, Target: 59.30 C, Output: 255
Time: 36.62 s, dT: 0.1000 s, Temp: 38.84 C, Target: 59.35 C, Output: 255
Time: 36.72 s, dT: 0.1000 s, Temp: 38.84 C, Target: 59.40 C, Output: 255
Time: 36.82 s, dT: 0.1000 s, Temp: 38.90 C, Target: 59.44 C, Output: 255
Time: 36.92 s, dT: 0.1000 s, Temp: 38.96 C, Target: 59.49 C, Output: 255
Time: 37.02 s, dT: 0.1000 s, Temp: 39.10 C, Target: 59.54 C, Output: 255
Time: 37.12 s, dT: 0.1000 s, Temp: 39.20 C, Target: 59.58 C, Output: 255
Time: 37.22 s, dT: 0.1000 s, Temp: 39.20 C, Target: 59.63 C, Output: 255
Time: 37.32 s, dT: 0.1000 s, Temp: 39.22 C, Target: 59.67 C, Output: 255
Time: 37.42 s, dT: 0.1000 s, Temp: 39.30 C, Target: 59.72 C, Output: 255
Time: 37.52 s, dT: 0.1000 s, Temp: 39.40 C, Target: 59.77 C, Output: 255
Time: 37.62 s, dT: 0.1000 s, Temp: 39.51 C, Target: 59.81 C, Output: 255
Time: 37.72 s, dT: 0.1000 s, Temp: 39.50 C, Target: 59.86 C, Output: 255
Time: 37.82 s, dT: 0.1000 s, Temp: 39.59 C, Target: 59.91 C, Output: 255
Time: 37.92 s, dT: 0.1000 s, Temp: 39.62 C, Target: 59.95 C, Output: 255
Time: 38.02 s, dT: 0.1000 s, Temp: 39.84 C, Target: 60.00 C, Output: 255
Time: 38.12 s, dT: 0.1010 s, Temp: 39.80 C, Target: 60.05 C, Output: 255
Time: 38.22 s, dT: 0.1000 s, Temp: 39.84 C, Target: 60.09 C, Output: 255
Time: 38.32 s, dT: 0.1000 s, Temp: 39.91 C, Target: 60.14 C, Output: 255
Time: 38.42 s, dT: 0.1000 s, Temp: 40.03 C, Target: 60.18 C, Output: 255
Time: 38.52 s, dT: 0.1000 s, Temp: 40.03 C, Target: 60.23 C, Output: 255
Time: 38.62 s, dT: 0.1000 s, Temp: 40.07 C, Target: 60.28 C, Output: 255
Time: 38.72 s, dT: 0.1000 s, Temp: 40.23 C, Target: 60.32 C, Output: 255
Time: 38.82 s, dT: 0.1000 s, Temp: 40.41 C, Target: 60.37 C, Output: 255
Time: 38.92 s, dT: 0.1000 s, Temp: 40.39 C, Target: 60.42 C, Output: 255
Time: 39.02 s, dT: 0.1000 s, Temp: 40.48 C, Target: 60.46 C, Output: 255
Time: 39.12 s, dT: 0.1000 s, Temp: 40.50 C, Target: 60.51 C, Output: 255
Time: 39.22 s, dT: 0.1000 s, Temp: 40.55 C, Target: 60.55 C, Output: 255
Time: 39.32 s, dT: 0.1000 s, Temp: 40.64 C, Target: 60.60 C, Output: 255
Time: 39.42 s, dT: 0.1000 s, Temp: 40.62 C, Target: 60.65 C, Output: 255
Time: 39.52 s, dT: 0.1000 s, Temp: 40.84 C, Target: 60.69 C, Output: 255
Time: 39.62 s, dT: 0.1000 s, Temp: 40.87 C, Target: 60.74 C, Output: 255
Time: 39.72 s, dT: 0.1000 s, Temp: 41.03 C, Target: 60.79 C, Output: 255
Time: 39.82 s, dT: 0.1000 s, Temp: 41.05 C, Target: 60.83 C, Output: 255
Time: 39.92 s, dT: 0.1000 s, Temp: 41.09 C, Target: 60.88 C, Output: 255
Time: 40.02 s, dT: 0.1000 s, Temp: 41.21 C, Target: 60.92 C, Output: 255
Time: 40.12 s, dT: 0.1000 s, Temp: 41.36 C, Target: 60.97 C, Output: 255
Time: 40.22 s, dT: 0.1000 s, Temp: 41.31 C, Target: 61.02 C, Output: 255
