Processing adafruit_feather_esp32s3_reversetft_espi (platform: espressif32; board: um_feathers3; framework: arduino)
--------------------------------------------------------------------------------
--- Terminal on /dev/ttyACM0 | 9600 8-N-1
--- Available filters and text transformations: colorize, debug, default, direct, esp32_exception_decoder, hexlify, log2file, nocontrol, printable, send_on_enter, time
--- More details at https://bit.ly/pio-monitor-filters
--- Quit: Ctrl+C | Menu: Ctrl+T | Help: Ctrl+T followed by Ctrl+H
67 C, Target: 0.00 C, Output: 0
Time: 213.21 s, dT: 0.1000 s, Temp: 28.18 C, Target: 27.96 C, Output: 0
Time: 213.31 s, dT: 0.1000 s, Temp: 28.21 C, Target: 28.04 C, Output: 0
Time: 213.41 s, dT: 0.1000 s, Temp: 28.16 C, Target: 28.11 C, Output: 0
Time: 213.51 s, dT: 0.1000 s, Temp: 28.14 C, Target: 28.18 C, Output: 1
Time: 213.61 s, dT: 0.1000 s, Temp: 28.19 C, Target: 28.25 C, Output: 0
Time: 213.71 s, dT: 0.1000 s, Temp: 28.23 C, Target: 28.33 C, Output: 1
Time: 213.81 s, dT: 0.1000 s, Temp: 28.29 C, Target: 28.40 C, Output: 1
Time: 213.91 s, dT: 0.1000 s, Temp: 28.21 C, Target: 28.47 C, Output: 5
Time: 214.01 s, dT: 0.1000 s, Temp: 28.25 C, Target: 28.54 C, Output: 5
Time: 214.11 s, dT: 0.1000 s, Temp: 28.20 C, Target: 28.61 C, Output: 8
Time: 214.21 s, dT: 0.1000 s, Temp: 28.23 C, Target: 28.69 C, Output: 9
Time: 214.31 s, dT: 0.1000 s, Temp: 28.34 C, Target: 28.76 C, Output: 7
Time: 214.41 s, dT: 0.1000 s, Temp: 28.31 C, Target: 28.83 C, Output: 10
Time: 214.51 s, dT: 0.1000 s, Temp: 28.32 C, Target: 28.90 C, Output: 11
Time: 214.61 s, dT: 0.1000 s, Temp: 28.37 C, Target: 28.98 C, Output: 11
Time: 214.71 s, dT: 0.1000 s, Temp: 28.36 C, Target: 29.05 C, Output: 14
Time: 214.81 s, dT: 0.1000 s, Temp: 28.34 C, Target: 29.12 C, Output: 16
Time: 214.91 s, dT: 0.1000 s, Temp: 28.36 C, Target: 29.19 C, Output: 16
Time: 215.01 s, dT: 0.1000 s, Temp: 28.34 C, Target: 29.26 C, Output: 18
Time: 215.11 s, dT: 0.1000 s, Temp: 28.36 C, Target: 29.34 C, Output: 19
Time: 215.21 s, dT: 0.1000 s, Temp: 28.36 C, Target: 29.41 C, Output: 21
Time: 215.31 s, dT: 0.1000 s, Temp: 28.38 C, Target: 29.48 C, Output: 22
Time: 215.41 s, dT: 0.1000 s, Temp: 28.42 C, Target: 29.55 C, Output: 22
Time: 215.51 s, dT: 0.1000 s, Temp: 28.39 C, Target: 29.63 C, Output: 25
Time: 215.61 s, dT: 0.1000 s, Temp: 28.45 C, Target: 29.70 C, Output: 25
Time: 215.71 s, dT: 0.1000 s, Temp: 28.38 C, Target: 29.77 C, Output: 29
Time: 215.81 s, dT: 0.1000 s, Temp: 28.41 C, Target: 29.84 C, Output: 29
Time: 215.91 s, dT: 0.1000 s, Temp: 28.45 C, Target: 29.91 C, Output: 29
Time: 216.01 s, dT: 0.1000 s, Temp: 28.34 C, Target: 29.99 C, Output: 34
Time: 216.11 s, dT: 0.1000 s, Temp: 28.43 C, Target: 30.06 C, Output: 32
Time: 216.21 s, dT: 0.1000 s, Temp: 28.39 C, Target: 30.13 C, Output: 36
Time: 216.31 s, dT: 0.1000 s, Temp: 28.45 C, Target: 30.20 C, Output: 35
Time: 216.41 s, dT: 0.1000 s, Temp: 28.45 C, Target: 30.28 C, Output: 37
Time: 216.51 s, dT: 0.1000 s, Temp: 28.45 C, Target: 30.35 C, Output: 39
Time: 216.61 s, dT: 0.1000 s, Temp: 28.43 C, Target: 30.42 C, Output: 41
Time: 216.71 s, dT: 0.1000 s, Temp: 28.42 C, Target: 30.49 C, Output: 43
Time: 216.81 s, dT: 0.1000 s, Temp: 28.38 C, Target: 30.56 C, Output: 45
Time: 216.91 s, dT: 0.1000 s, Temp: 28.52 C, Target: 30.64 C, Output: 42
Time: 217.01 s, dT: 0.1000 s, Temp: 28.48 C, Target: 30.71 C, Output: 47
Time: 217.11 s, dT: 0.1000 s, Temp: 28.47 C, Target: 30.78 C, Output: 48
Time: 217.21 s, dT: 0.1000 s, Temp: 28.52 C, Target: 30.85 C, Output: 48
Time: 217.31 s, dT: 0.1000 s, Temp: 28.41 C, Target: 30.93 C, Output: 53
Time: 217.41 s, dT: 0.1000 s, Temp: 28.47 C, Target: 31.00 C, Output: 52
Time: 217.51 s, dT: 0.1000 s, Temp: 28.42 C, Target: 31.07 C, Output: 56
Time: 217.61 s, dT: 0.1000 s, Temp: 28.47 C, Target: 31.14 C, Output: 55
Time: 217.71 s, dT: 0.1000 s, Temp: 28.45 C, Target: 31.21 C, Output: 58
Time: 217.81 s, dT: 0.1000 s, Temp: 28.49 C, Target: 31.29 C, Output: 58
Time: 217.91 s, dT: 0.1000 s, Temp: 28.49 C, Target: 31.36 C, Output: 60
Time: 218.01 s, dT: 0.1000 s, Temp: 28.41 C, Target: 31.43 C, Output: 64
Time: 218.11 s, dT: 0.1000 s, Temp: 28.49 C, Target: 31.50 C, Output: 62
Time: 218.21 s, dT: 0.1000 s, Temp: 28.43 C, Target: 31.58 C, Output: 67
Time: 218.31 s, dT: 0.1000 s, Temp: 28.49 C, Target: 31.65 C, Output: 66
Time: 218.41 s, dT: 0.1000 s, Temp: 28.48 C, Target: 31.72 C, Output: 68
Time: 218.51 s, dT: 0.1000 s, Temp: 28.49 C, Target: 31.79 C, Output: 69
Time: 218.61 s, dT: 0.1000 s, Temp: 28.52 C, Target: 31.86 C, Output: 70
Time: 218.71 s, dT: 0.1000 s, Temp: 28.52 C, Target: 31.94 C, Output: 72
Time: 218.81 s, dT: 0.1000 s, Temp: 28.61 C, Target: 32.01 C, Output: 71
Time: 218.91 s, dT: 0.1010 s, Temp: 28.45 C, Target: 32.08 C, Output: 78
Time: 219.01 s, dT: 0.1000 s, Temp: 28.54 C, Target: 32.15 C, Output: 76
Time: 219.11 s, dT: 0.1000 s, Temp: 28.62 C, Target: 32.23 C, Output: 76
Time: 219.21 s, dT: 0.1010 s, Temp: 28.54 C, Target: 32.30 C, Output: 81
Time: 219.31 s, dT: 0.1010 s, Temp: 28.49 C, Target: 32.37 C, Output: 83
Time: 219.41 s, dT: 0.1010 s, Temp: 28.52 C, Target: 32.45 C, Output: 83
Time: 219.51 s, dT: 0.1000 s, Temp: 28.52 C, Target: 32.52 C, Output: 86
Time: 219.61 s, dT: 0.1000 s, Temp: 28.59 C, Target: 32.59 C, Output: 85
Time: 219.71 s, dT: 0.1000 s, Temp: 28.54 C, Target: 32.66 C, Output: 89
Time: 219.81 s, dT: 0.1000 s, Temp: 28.63 C, Target: 32.73 C, Output: 87
Time: 219.91 s, dT: 0.1000 s, Temp: 28.56 C, Target: 32.81 C, Output: 92
Time: 220.01 s, dT: 0.1000 s, Temp: 28.58 C, Target: 32.88 C, Output: 92
Time: 220.11 s, dT: 0.1000 s, Temp: 28.59 C, Target: 32.95 C, Output: 94
Time: 220.21 s, dT: 0.1010 s, Temp: 28.62 C, Target: 33.02 C, Output: 94
Time: 220.31 s, dT: 0.1010 s, Temp: 28.60 C, Target: 33.10 C, Output: 97
Time: 220.41 s, dT: 0.1010 s, Temp: 28.52 C, Target: 33.17 C, Output: 101
Time: 220.51 s, dT: 0.1000 s, Temp: 28.54 C, Target: 33.24 C, Output: 101
Time: 220.61 s, dT: 0.1000 s, Temp: 28.65 C, Target: 33.31 C, Output: 100
Time: 220.71 s, dT: 0.1000 s, Temp: 28.60 C, Target: 33.39 C, Output: 104
Time: 220.81 s, dT: 0.1000 s, Temp: 28.62 C, Target: 33.46 C, Output: 105
Time: 220.91 s, dT: 0.1010 s, Temp: 28.56 C, Target: 33.53 C, Output: 109
Time: 221.02 s, dT: 0.1010 s, Temp: 28.56 C, Target: 33.60 C, Output: 110
Time: 221.12 s, dT: 0.1010 s, Temp: 28.62 C, Target: 33.68 C, Output: 109
Time: 221.22 s, dT: 0.1010 s, Temp: 28.62 C, Target: 33.75 C, Output: 112
Time: 221.32 s, dT: 0.1010 s, Temp: 28.56 C, Target: 33.82 C, Output: 115
Time: 221.42 s, dT: 0.1010 s, Temp: 28.54 C, Target: 33.90 C, Output: 117
Time: 221.52 s, dT: 0.1000 s, Temp: 28.62 C, Target: 33.97 C, Output: 116
Time: 221.62 s, dT: 0.1010 s, Temp: 28.65 C, Target: 34.04 C, Output: 118
Time: 221.72 s, dT: 0.1010 s, Temp: 28.66 C, Target: 34.11 C, Output: 120
Time: 221.82 s, dT: 0.1010 s, Temp: 28.65 C, Target: 34.19 C, Output: 122
Time: 221.92 s, dT: 0.1010 s, Temp: 28.68 C, Target: 34.26 C, Output: 122
Time: 222.02 s, dT: 0.1000 s, Temp: 28.59 C, Target: 34.33 C, Output: 127
Time: 222.12 s, dT: 0.1000 s, Temp: 28.62 C, Target: 34.40 C, Output: 127
Time: 222.22 s, dT: 0.1010 s, Temp: 28.65 C, Target: 34.48 C, Output: 128
Time: 222.33 s, dT: 0.1010 s, Temp: 28.65 C, Target: 34.55 C, Output: 130
Time: 222.43 s, dT: 0.1010 s, Temp: 28.63 C, Target: 34.62 C, Output: 133
Time: 222.53 s, dT: 0.1010 s, Temp: 28.71 C, Target: 34.70 C, Output: 132
Time: 222.63 s, dT: 0.1010 s, Temp: 28.67 C, Target: 34.77 C, Output: 136
Time: 222.73 s, dT: 0.1000 s, Temp: 28.71 C, Target: 34.84 C, Output: 136
Time: 222.83 s, dT: 0.1010 s, Temp: 28.61 C, Target: 34.91 C, Output: 141
Time: 222.93 s, dT: 0.1010 s, Temp: 28.60 C, Target: 34.99 C, Output: 142
Time: 223.03 s, dT: 0.1000 s, Temp: 28.62 C, Target: 35.06 C, Output: 143
Time: 223.13 s, dT: 0.1010 s, Temp: 28.65 C, Target: 35.13 C, Output: 144
Time: 223.23 s, dT: 0.1010 s, Temp: 28.66 C, Target: 35.21 C, Output: 146
Time: 223.33 s, dT: 0.1010 s, Temp: 28.62 C, Target: 35.28 C, Output: 149
Time: 223.44 s, dT: 0.1010 s, Temp: 28.66 C, Target: 35.35 C, Output: 149
Time: 223.54 s, dT: 0.1010 s, Temp: 28.59 C, Target: 35.42 C, Output: 154
Time: 223.64 s, dT: 0.1010 s, Temp: 28.67 C, Target: 35.50 C, Output: 152
Time: 223.74 s, dT: 0.1010 s, Temp: 28.72 C, Target: 35.57 C, Output: 153
Time: 223.84 s, dT: 0.1010 s, Temp: 28.61 C, Target: 35.64 C, Output: 159
Time: 223.94 s, dT: 0.1010 s, Temp: 28.79 C, Target: 35.72 C, Output: 154
Time: 224.04 s, dT: 0.1000 s, Temp: 28.76 C, Target: 35.79 C, Output: 159
Time: 224.14 s, dT: 0.1000 s, Temp: 28.72 C, Target: 35.86 C, Output: 162
Time: 224.24 s, dT: 0.1000 s, Temp: 28.66 C, Target: 35.93 C, Output: 165
Time: 224.34 s, dT: 0.1000 s, Temp: 28.66 C, Target: 36.01 C, Output: 166
Time: 224.44 s, dT: 0.1000 s, Temp: 28.67 C, Target: 36.08 C, Output: 167
Time: 224.54 s, dT: 0.1000 s, Temp: 28.67 C, Target: 36.15 C, Output: 169
Time: 224.64 s, dT: 0.1010 s, Temp: 28.72 C, Target: 36.22 C, Output: 170
Time: 224.74 s, dT: 0.1010 s, Temp: 28.72 C, Target: 36.30 C, Output: 172
Time: 224.84 s, dT: 0.1010 s, Temp: 28.63 C, Target: 36.37 C, Output: 176
Time: 224.94 s, dT: 0.1010 s, Temp: 28.68 C, Target: 36.44 C, Output: 176
Time: 225.04 s, dT: 0.1000 s, Temp: 28.72 C, Target: 36.51 C, Output: 177
Time: 225.15 s, dT: 0.1010 s, Temp: 28.74 C, Target: 36.59 C, Output: 179
Time: 225.25 s, dT: 0.1010 s, Temp: 28.70 C, Target: 36.66 C, Output: 182
Time: 225.35 s, dT: 0.1010 s, Temp: 28.73 C, Target: 36.73 C, Output: 182
Time: 225.45 s, dT: 0.1010 s, Temp: 28.77 C, Target: 36.81 C, Output: 184
Time: 225.55 s, dT: 0.1010 s, Temp: 28.74 C, Target: 36.88 C, Output: 187
